date; Reel PCE value
4.1.2013;11172,647
7.1.2013;11214,417
10.1.2013;11304,3
1.1.2014;11347,636
4.1.2014;11453,014
7.1.2014;11565,682
10.1.2014;11694,917
1.1.2015;11772,949
4.1.2015;11852,652
7.1.2015;11943,043
10.1.2015;12003,146
1.1.2016;12091,178
4.1.2016;12152,627
7.1.2016;12223,822
10.1.2016;12283,076
1.1.2017;12372,247
4.1.2017;12430,081
7.1.2017;12500,402
10.1.2017;12631,98
1.1.2018;12707,641
4.1.2018;12816,396
7.1.2018;12900,579
10.1.2018;12955,501
1.1.2019;12975,144
4.1.2019;13088,759
7.1.2019;13192,261
10.1.2019;13248,981
1.1.2020;13014,489
4.1.2020;11756,399
7.1.2020;12820,786
10.1.2020;12927,913
1.1.2021;13282,685
4.1.2021;13665,61
7.1.2021;13732,408
10.1.2021;13836,732
